Running reserve=0.2 depq=0.1 mu=1.0 sigma=2.0 k=6 p=0.05 seed=1001
250×13 DataFrame
 Row │ seed1   iteration  depositDist                       network                            graphParams1  graphParams2  withdrawRV                         reserveRatio  depositInsuranceQuantile  seed2   key                                started  completed
     │ Int64   Int64      LogNormal…                        SimpleGr…                          Int64         Float64       Distribut…                         Float64       Float64                   Int64   String                             Bool     Bool
─────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ 455326          1  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  178931  2026-01-28T14:18:24.447-455326-1…    false      false
   2 │ 455326          2  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  686407  2026-01-28T14:18:24.447-455326-6…    false      false
   3 │ 455326          3  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  898513  2026-01-28T14:18:24.447-455326-8…    false      false
   4 │ 455326          4  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  157933  2026-01-28T14:18:24.447-455326-1…    false      false
   5 │ 455326          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  250481  2026-01-28T14:18:24.447-455326-2…    false      false
   6 │ 455326          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  795449  2026-01-28T14:18:24.447-455326-7…    false      false
   7 │ 455326          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  593077  2026-01-28T14:18:24.447-455326-5…    false      false
   8 │ 455326          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  210172  2026-01-28T14:18:24.447-455326-2…    false      false
   9 │ 455326          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  536170  2026-01-28T14:18:24.447-455326-5…    false      false
  10 │ 455326         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  311204  2026-01-28T14:18:24.447-455326-3…    false      false
  11 │ 306470          1  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  994605  2026-01-28T14:18:24.447-306470-9…    false      false
  12 │ 306470          2  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  798098  2026-01-28T14:18:24.447-306470-7…    false      false
  13 │ 306470          3  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  314489  2026-01-28T14:18:24.447-306470-3…    false      false
  14 │ 306470          4  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  490675  2026-01-28T14:18:24.447-306470-4…    false      false
  15 │ 306470          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  407503  2026-01-28T14:18:24.447-306470-4…    false      false
  16 │ 306470          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  621794  2026-01-28T14:18:24.447-306470-6…    false      false
  17 │ 306470          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  930785  2026-01-28T14:18:24.447-306470-9…    false      false
  18 │ 306470          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  175337  2026-01-28T14:18:24.447-306470-1…    false      false
  19 │ 306470          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  828007  2026-01-28T14:18:24.447-306470-8…    false      false
  20 │ 306470         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  818981  2026-01-28T14:18:24.447-306470-8…    false      false
  21 │ 868789          1  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  438401  2026-01-28T14:18:24.447-868789-4…    false      false
  22 │ 868789          2  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  658963  2026-01-28T14:18:24.447-868789-6…    false      false
  23 │ 868789          3  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  105514  2026-01-28T14:18:24.447-868789-1…    false      false
  24 │ 868789          4  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  756766  2026-01-28T14:18:24.447-868789-7…    false      false
  25 │ 868789          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  520663  2026-01-28T14:18:24.447-868789-5…    false      false
  26 │ 868789          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  442998  2026-01-28T14:18:24.447-868789-4…    false      false
  27 │ 868789          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  578051  2026-01-28T14:18:24.447-868789-5…    false      false
  28 │ 868789          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  724892  2026-01-28T14:18:24.447-868789-7…    false      false
  29 │ 868789          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  771081  2026-01-28T14:18:24.447-868789-7…    false      false
  30 │ 868789         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  830529  2026-01-28T14:18:24.447-868789-8…    false      false
  31 │ 753714          1  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  465151  2026-01-28T14:18:24.447-753714-4…    false      false
  32 │ 753714          2  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1   58067  2026-01-28T14:18:24.447-753714-5…    false      false
  33 │ 753714          3  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  223752  2026-01-28T14:18:24.447-753714-2…    false      false
  34 │ 753714          4  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  399695  2026-01-28T14:18:24.447-753714-3…    false      false
  35 │ 753714          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  296376  2026-01-28T14:18:24.447-753714-2…    false      false
  36 │ 753714          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  558347  2026-01-28T14:18:24.447-753714-5…    false      false
  37 │ 753714          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  632033  2026-01-28T14:18:24.447-753714-6…    false      false
  38 │ 753714          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  981466  2026-01-28T14:18:24.447-753714-9…    false      false
  39 │ 753714          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  957599  2026-01-28T14:18:24.447-753714-9…    false      false
  40 │ 753714         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  768610  2026-01-28T14:18:24.447-753714-7…    false      false
  41 │ 705391          1  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1   59075  2026-01-28T14:18:24.447-705391-5…    false      false
  42 │ 705391          2  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  778512  2026-01-28T14:18:24.447-705391-7…    false      false
  43 │ 705391          3  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  566772  2026-01-28T14:18:24.447-705391-5…    false      false
  44 │ 705391          4  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  350449  2026-01-28T14:18:24.447-705391-3…    false      false
  45 │ 705391          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  184723  2026-01-28T14:18:24.447-705391-1…    false      false
  46 │ 705391          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  364714  2026-01-28T14:18:24.447-705391-3…    false      false
  47 │ 705391          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  712350  2026-01-28T14:18:24.447-705391-7…    false      false
  48 │ 705391          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  618793  2026-01-28T14:18:24.447-705391-6…    false      false
  49 │ 705391          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  176694  2026-01-28T14:18:24.447-705391-1…    false      false
  50 │ 705391         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  308309  2026-01-28T14:18:24.447-705391-3…    false      false
  51 │ 455326          1  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  255790  2026-01-28T14:18:24.447-455326-2…    false      false
  52 │ 455326          2  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  290955  2026-01-28T14:18:24.447-455326-2…    false      false
  53 │ 455326          3  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  791971  2026-01-28T14:18:24.447-455326-7…    false      false
  54 │ 455326          4  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  237051  2026-01-28T14:18:24.447-455326-2…    false      false
  55 │ 455326          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  721534  2026-01-28T14:18:24.447-455326-7…    false      false
  56 │ 455326          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(3151, [[2, 3,…             6          0.05  Truncated(Geometric{Float64}(p=0…           0.2                       0.1  370017  2026-01-28T14:18:24.447-455326-3…    false      false
