250×13 DataFrame
 Row │ seed1   iteration  depositDist                     network                            graphParams1  graphParams2  withdrawRV                         reserveRatio  depositInsuranceQuantile  seed2   key                                started  completed
     │ Int64   Int64      Pareto…                         SimpleGr…                          Int64         Float64       Distribut…                         Float64       Float64                   Int64   String                             Bool     Bool
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ 710994          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  931881  2026-01-25T14:50:39.354-710994-9…    false      false
   2 │ 710994          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  878395  2026-01-25T14:50:39.354-710994-8…    false      false
   3 │ 710994          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  448432  2026-01-25T14:50:39.354-710994-4…    false      false
   4 │ 710994          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  411749  2026-01-25T14:50:39.354-710994-4…    false      false
   5 │ 710994          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  119141  2026-01-25T14:50:39.354-710994-1…    false      false
   6 │ 710994          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  435091  2026-01-25T14:50:39.354-710994-4…    false      false
   7 │ 710994          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  870955  2026-01-25T14:50:39.354-710994-8…    false      false
   8 │ 710994          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  484542  2026-01-25T14:50:39.354-710994-4…    false      false
   9 │ 710994          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  354376  2026-01-25T14:50:39.354-710994-3…    false      false
  10 │ 710994         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  637789  2026-01-25T14:50:39.354-710994-6…    false      false
  11 │ 320609          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  772437  2026-01-25T14:50:39.354-320609-7…    false      false
  12 │ 320609          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  769214  2026-01-25T14:50:39.354-320609-7…    false      false
  13 │ 320609          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  745723  2026-01-25T14:50:39.354-320609-7…    false      false
  14 │ 320609          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  443942  2026-01-25T14:50:39.354-320609-4…    false      false
  15 │ 320609          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  148648  2026-01-25T14:50:39.354-320609-1…    false      false
  16 │ 320609          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  817641  2026-01-25T14:50:39.354-320609-8…    false      false
  17 │ 320609          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  383657  2026-01-25T14:50:39.354-320609-3…    false      false
  18 │ 320609          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  172917  2026-01-25T14:50:39.354-320609-1…    false      false
  19 │ 320609          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  346533  2026-01-25T14:50:39.354-320609-3…    false      false
  20 │ 320609         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  859116  2026-01-25T14:50:39.354-320609-8…    false      false
  21 │ 811430          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  275730  2026-01-25T14:50:39.354-811430-2…    false      false
